Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.164, 1: 0.324, 2: 0.282, 3: 0.152, 4: 0.057, 5: 0.016, 6: 0.004, 7: 0.001, 8: 0.000, 9: 0.000, 10: 0.000, 11: 0.000, 
Interaction Association Size:
0: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.110,	move0= 0.089,	move1= 0.108,	move2= 0.095,	
---------------------------------------------------
1791 :	 B-stat = 20.171441	 P = 0.393576
9399 :	 B-stat = 1.239947	 P = 1.000000
5809 :	 B-stat = 4.560999	 P = 1.000000
6135 :	 B-stat = 5.246753	 P = 1.000000
5471 :	 B-stat = 3.761570	 P = 1.000000
8779 :	 B-stat = 9.108302	 P = 1.000000
6476 :	 B-stat = 2.014063	 P = 1.000000
5843 :	 B-stat = 7.942171	 P = 1.000000
5464 :	 B-stat = 1.958214	 P = 1.000000
8018 :	 B-stat = 2.944398	 P = 1.000000
6108 :	 B-stat = 2.846369	 P = 1.000000
4947 :	 B-stat = 0.910418	 P = 1.000000
5462 :	 B-stat = 0.974209	 P = 1.000000
6442 :	 B-stat = 2.243960	 P = 1.000000
8009 :	 B-stat = 0.596179	 P = 1.000000
7258 :	 B-stat = 2.514009	 P = 1.000000
7403 :	 B-stat = 0.478826	 P = 1.000000
6376 :	 B-stat = 2.234724	 P = 1.000000
5461 :	 B-stat = 2.219579	 P = 1.000000
6098 :	 B-stat = 1.197243	 P = 1.000000
5834 :	 B-stat = 4.203868	 P = 1.000000
5795 :	 B-stat = 0.523763	 P = 1.000000
4944 :	 B-stat = 4.856527	 P = 1.000000
8698 :	 B-stat = 2.271455	 P = 1.000000
5829 :	 B-stat = 1.393934	 P = 1.000000
7385 :	 B-stat = 4.883677	 P = 1.000000
8688 :	 B-stat = 1.902057	 P = 1.000000
8687 :	 B-stat = 3.332727	 P = 1.000000
7379 :	 B-stat = 4.894461	 P = 1.000000
8680 :	 B-stat = 3.303480	 P = 1.000000
8675 :	 B-stat = 0.663633	 P = 1.000000
8498 :	 B-stat = 2.282897	 P = 1.000000
5590 :	 B-stat = 0.093628	 P = 1.000000
8674 :	 B-stat = 4.257992	 P = 1.000000
8492 :	 B-stat = 1.695695	 P = 1.000000
7370 :	 B-stat = 0.120965	 P = 1.000000
5615 :	 B-stat = 4.348696	 P = 1.000000
5205 :	 B-stat = 3.560188	 P = 1.000000
8657 :	 B-stat = 2.111153	 P = 1.000000
8656 :	 B-stat = 3.142363	 P = 1.000000
9330 :	 B-stat = 6.512445	 P = 1.000000
6828 :	 B-stat = 4.258165	 P = 1.000000
7358 :	 B-stat = 0.621806	 P = 1.000000
8640 :	 B-stat = 3.255922	 P = 1.000000
5184 :	 B-stat = 2.895867	 P = 1.000000
6405 :	 B-stat = 1.354912	 P = 1.000000
3949 :	 B-stat = 1.904780	 P = 1.000000
7329 :	 B-stat = 3.719171	 P = 1.000000
6340 :	 B-stat = 1.604441	 P = 1.000000
6399 :	 B-stat = 4.284970	 P = 1.000000
7323 :	 B-stat = 2.098707	 P = 1.000000
7319 :	 B-stat = 0.409157	 P = 1.000000
8600 :	 B-stat = 0.912061	 P = 1.000000
4808 :	 B-stat = 7.461700	 P = 1.000000
6801 :	 B-stat = 3.496138	 P = 1.000000
6796 :	 B-stat = 3.692854	 P = 1.000000
4697 :	 B-stat = 2.160667	 P = 1.000000
4685 :	 B-stat = 4.590518	 P = 1.000000
5766 :	 B-stat = 3.156099	 P = 1.000000
4627 :	 B-stat = 3.324112	 P = 1.000000
4626 :	 B-stat = 5.187384	 P = 1.000000
4623 :	 B-stat = 0.537911	 P = 1.000000
9293 :	 B-stat = 1.927942	 P = 1.000000
9292 :	 B-stat = 4.250745	 P = 1.000000
5578 :	 B-stat = 1.228031	 P = 1.000000
4619 :	 B-stat = 3.543918	 P = 1.000000
4606 :	 B-stat = 1.084720	 P = 1.000000
4602 :	 B-stat = 2.891842	 P = 1.000000
4597 :	 B-stat = 3.139989	 P = 1.000000
4482 :	 B-stat = 4.717541	 P = 1.000000
9284 :	 B-stat = 5.512523	 P = 1.000000
4354 :	 B-stat = 4.596060	 P = 1.000000
4324 :	 B-stat = 4.309338	 P = 1.000000
4314 :	 B-stat = 2.370341	 P = 1.000000
4287 :	 B-stat = 8.356344	 P = 1.000000
5176 :	 B-stat = 0.010805	 P = 1.000000
4259 :	 B-stat = 0.158889	 P = 1.000000
4926 :	 B-stat = 3.182224	 P = 1.000000
9272 :	 B-stat = 3.144561	 P = 1.000000
4244 :	 B-stat = 1.886187	 P = 1.000000
4238 :	 B-stat = 1.967301	 P = 1.000000
4235 :	 B-stat = 1.229247	 P = 1.000000
4229 :	 B-stat = 3.725586	 P = 1.000000
4925 :	 B-stat = 1.763485	 P = 1.000000
4220 :	 B-stat = 1.102246	 P = 1.000000
4215 :	 B-stat = 2.135055	 P = 1.000000
5568 :	 B-stat = 2.470780	 P = 1.000000
4208 :	 B-stat = 5.271330	 P = 1.000000
9260 :	 B-stat = 2.342876	 P = 1.000000
9259 :	 B-stat = 3.975586	 P = 1.000000
4106 :	 B-stat = 5.093227	 P = 1.000000
7763 :	 B-stat = 3.856041	 P = 1.000000
9256 :	 B-stat = 3.615917	 P = 1.000000
4059 :	 B-stat = 3.674654	 P = 1.000000
4058 :	 B-stat = 1.668754	 P = 1.000000
4033 :	 B-stat = 4.200945	 P = 1.000000
4029 :	 B-stat = 2.283337	 P = 1.000000
4010 :	 B-stat = 4.221865	 P = 1.000000
3962 :	 B-stat = 0.621946	 P = 1.000000
3938 :	 B-stat = 0.190369	 P = 1.000000
3931 :	 B-stat = 5.752040	 P = 1.000000
3737 :	 B-stat = 4.944808	 P = 1.000000
3710 :	 B-stat = 4.845579	 P = 1.000000
5171 :	 B-stat = 3.908666	 P = 1.000000
3705 :	 B-stat = 1.937131	 P = 1.000000
9034 :	 B-stat = 1.967493	 P = 1.000000
3703 :	 B-stat = 5.749567	 P = 1.000000
3702 :	 B-stat = 0.851939	 P = 1.000000
3657 :	 B-stat = 4.226171	 P = 1.000000
4923 :	 B-stat = 2.620962	 P = 1.000000
3655 :	 B-stat = 5.153353	 P = 1.000000
3463 :	 B-stat = 3.512043	 P = 1.000000
3460 :	 B-stat = 3.694440	 P = 1.000000
9227 :	 B-stat = 2.397131	 P = 1.000000
3458 :	 B-stat = 4.935844	 P = 1.000000
8420 :	 B-stat = 0.225595	 P = 1.000000
8417 :	 B-stat = 3.388931	 P = 1.000000
3452 :	 B-stat = 0.977989	 P = 1.000000
5561 :	 B-stat = 4.005962	 P = 1.000000
8414 :	 B-stat = 1.692252	 P = 1.000000
3438 :	 B-stat = 2.745939	 P = 1.000000
3432 :	 B-stat = 2.541784	 P = 1.000000
3421 :	 B-stat = 0.150873	 P = 1.000000
3415 :	 B-stat = 2.291548	 P = 1.000000
3370 :	 B-stat = 0.739886	 P = 1.000000
3364 :	 B-stat = 3.927921	 P = 1.000000
3357 :	 B-stat = 6.303907	 P = 1.000000
3346 :	 B-stat = 0.717401	 P = 1.000000
3235 :	 B-stat = 4.689321	 P = 1.000000
3142 :	 B-stat = 4.544638	 P = 1.000000
5741 :	 B-stat = 8.468688	 P = 1.000000
2935 :	 B-stat = 3.679798	 P = 1.000000
7157 :	 B-stat = 1.109864	 P = 1.000000
2934 :	 B-stat = 2.276455	 P = 1.000000
2932 :	 B-stat = 2.913411	 P = 1.000000
7152 :	 B-stat = 1.185771	 P = 1.000000
2927 :	 B-stat = 0.425782	 P = 1.000000
2920 :	 B-stat = 5.167345	 P = 1.000000
2851 :	 B-stat = 1.131623	 P = 1.000000
2850 :	 B-stat = 4.828557	 P = 1.000000
4991 :	 B-stat = 2.206631	 P = 1.000000
7144 :	 B-stat = 0.148650	 P = 1.000000
2832 :	 B-stat = 1.840680	 P = 1.000000
2829 :	 B-stat = 3.109914	 P = 1.000000
2821 :	 B-stat = 0.926244	 P = 1.000000
2818 :	 B-stat = 5.253518	 P = 1.000000
2793 :	 B-stat = 3.728912	 P = 1.000000
7137 :	 B-stat = 0.879441	 P = 1.000000
2790 :	 B-stat = 3.046645	 P = 1.000000
2678 :	 B-stat = 2.899878	 P = 1.000000
1 :	 B-stat = 2.613832	 P = 1.000000
4987 :	 B-stat = 2.956499	 P = 1.000000
2662 :	 B-stat = 5.183477	 P = 1.000000
2462 :	 B-stat = 5.989201	 P = 1.000000
4915 :	 B-stat = 1.788366	 P = 1.000000
7127 :	 B-stat = 3.023825	 P = 1.000000
2421 :	 B-stat = 6.621242	 P = 1.000000
2410 :	 B-stat = 2.099279	 P = 1.000000
2409 :	 B-stat = 0.995140	 P = 1.000000
2393 :	 B-stat = 4.406775	 P = 1.000000
2389 :	 B-stat = 4.334996	 P = 1.000000
7122 :	 B-stat = 4.709172	 P = 1.000000
9156 :	 B-stat = 1.731164	 P = 1.000000
7120 :	 B-stat = 0.330168	 P = 1.000000
2372 :	 B-stat = 10.917462	 P = 1.000000
2361 :	 B-stat = 4.642186	 P = 1.000000
2175 :	 B-stat = 2.802556	 P = 1.000000
2174 :	 B-stat = 1.684542	 P = 1.000000
2173 :	 B-stat = 2.571836	 P = 1.000000
2172 :	 B-stat = 2.217981	 P = 1.000000
2129 :	 B-stat = 2.968699	 P = 1.000000
2101 :	 B-stat = 0.037308	 P = 1.000000
2096 :	 B-stat = 3.754349	 P = 1.000000
2076 :	 B-stat = 1.811112	 P = 1.000000
5720 :	 B-stat = 9.582811	 P = 1.000000
2022 :	 B-stat = 2.324537	 P = 1.000000
2015 :	 B-stat = 5.591800	 P = 1.000000
6646 :	 B-stat = 1.899472	 P = 1.000000
5965 :	 B-stat = 2.209782	 P = 1.000000
2003 :	 B-stat = 0.971448	 P = 1.000000
7692 :	 B-stat = 2.636980	 P = 1.000000
1951 :	 B-stat = 3.553198	 P = 1.000000
1950 :	 B-stat = 5.912159	 P = 1.000000
9125 :	 B-stat = 1.549458	 P = 1.000000
1926 :	 B-stat = 2.158412	 P = 1.000000
1920 :	 B-stat = 4.105850	 P = 1.000000
1916 :	 B-stat = 2.021369	 P = 1.000000
6642 :	 B-stat = 2.366664	 P = 1.000000
1910 :	 B-stat = 6.606102	 P = 1.000000
1907 :	 B-stat = 0.576856	 P = 1.000000
1863 :	 B-stat = 0.447898	 P = 1.000000
1856 :	 B-stat = 3.621491	 P = 1.000000
1817 :	 B-stat = 2.039851	 P = 1.000000
1804 :	 B-stat = 1.024725	 P = 1.000000
1616 :	 B-stat = 5.357801	 P = 1.000000
1609 :	 B-stat = 1.328831	 P = 1.000000
1571 :	 B-stat = 2.008099	 P = 1.000000
1360 :	 B-stat = 0.431637	 P = 1.000000
9104 :	 B-stat = 4.662108	 P = 1.000000
1331 :	 B-stat = 3.544072	 P = 1.000000
1204 :	 B-stat = 4.203690	 P = 1.000000
7673 :	 B-stat = 2.930683	 P = 1.000000
1134 :	 B-stat = 1.299998	 P = 1.000000
1106 :	 B-stat = 1.438714	 P = 1.000000
1062 :	 B-stat = 8.383093	 P = 1.000000
1060 :	 B-stat = 5.697509	 P = 1.000000
959 :	 B-stat = 6.891841	 P = 1.000000
916 :	 B-stat = 0.260702	 P = 1.000000
869 :	 B-stat = 4.993286	 P = 1.000000
843 :	 B-stat = 5.113739	 P = 1.000000
8312 :	 B-stat = 3.773966	 P = 1.000000
7664 :	 B-stat = 2.932375	 P = 1.000000
783 :	 B-stat = 0.034365	 P = 1.000000
763 :	 B-stat = 5.288433	 P = 1.000000
9083 :	 B-stat = 2.501660	 P = 1.000000
663 :	 B-stat = 1.583641	 P = 1.000000
662 :	 B-stat = 2.648833	 P = 1.000000
652 :	 B-stat = 7.307468	 P = 1.000000
620 :	 B-stat = 2.322192	 P = 1.000000
609 :	 B-stat = 9.230378	 P = 1.000000
448 :	 B-stat = 1.891481	 P = 1.000000
442 :	 B-stat = 1.076909	 P = 1.000000
403 :	 B-stat = 0.401996	 P = 1.000000
5948 :	 B-stat = 3.482803	 P = 1.000000
8291 :	 B-stat = 3.849144	 P = 1.000000
375 :	 B-stat = 3.199585	 P = 1.000000
372 :	 B-stat = 2.461107	 P = 1.000000
347 :	 B-stat = 5.167447	 P = 1.000000
332 :	 B-stat = 4.516543	 P = 1.000000
187 :	 B-stat = 1.005269	 P = 1.000000
9057 :	 B-stat = 3.008054	 P = 1.000000
7639 :	 B-stat = 2.386946	 P = 1.000000
4969 :	 B-stat = 4.416307	 P = 1.000000
4968 :	 B-stat = 4.907539	 P = 1.000000
5046 :	 B-stat = 2.295559	 P = 1.000000
6583 :	 B-stat = 1.742787	 P = 1.000000
6217 :	 B-stat = 5.036424	 P = 1.000000
5238 :	 B-stat = 3.990123	 P = 1.000000
7591 :	 B-stat = 4.328644	 P = 1.000000
7032 :	 B-stat = 0.886740	 P = 1.000000
5237 :	 B-stat = 0.798384	 P = 1.000000
7574 :	 B-stat = 4.955595	 P = 1.000000
6563 :	 B-stat = 4.804748	 P = 1.000000
5229 :	 B-stat = 0.457690	 P = 1.000000
8921 :	 B-stat = 2.576343	 P = 1.000000
6178 :	 B-stat = 3.732837	 P = 1.000000
6177 :	 B-stat = 4.274892	 P = 1.000000
8910 :	 B-stat = 4.097834	 P = 1.000000
8157 :	 B-stat = 2.207582	 P = 1.000000
8898 :	 B-stat = 2.559800	 P = 1.000000
8894 :	 B-stat = 2.158752	 P = 1.000000
8886 :	 B-stat = 2.512542	 P = 1.000000
8151 :	 B-stat = 2.406169	 P = 1.000000
9442 :	 B-stat = 3.043192	 P = 1.000000
6396 :	 B-stat = 0.960201	 P = 1.000000
9440 :	 B-stat = 0.660739	 P = 1.000000
9438 :	 B-stat = 3.618406	 P = 1.000000
7305 :	 B-stat = 3.620858	 P = 1.000000
9436 :	 B-stat = 2.037828	 P = 1.000000
6791 :	 B-stat = 0.221784	 P = 1.000000
7886 :	 B-stat = 0.295447	 P = 1.000000
8567 :	 B-stat = 2.030685	 P = 1.000000
7288 :	 B-stat = 2.709013	 P = 1.000000
6783 :	 B-stat = 5.942479	 P = 1.000000
9410 :	 B-stat = 1.775016	 P = 1.000000
6779 :	 B-stat = 4.630060	 P = 1.000000
8554 :	 B-stat = -0.017981	 P = 1.000000
7272 :	 B-stat = 7.110584	 P = 1.000000
6388 :	 B-stat = 1.615668	 P = 1.000000
9392 :	 B-stat = 7.588841	 P = 1.000000
8543 :	 B-stat = 2.651799	 P = 1.000000
7860 :	 B-stat = 2.410819	 P = 1.000000
6386 :	 B-stat = 0.717808	 P = 1.000000
4822 :	 B-stat = 2.355305	 P = 1.000000
6384 :	 B-stat = 1.102442	 P = 1.000000
7263 :	 B-stat = 2.060519	 P = 1.000000
8535 :	 B-stat = 0.489605	 P = 1.000000
6765 :	 B-stat = 4.506937	 P = 1.000000
4805 :	 B-stat = 6.199003	 P = 1.000000
7846 :	 B-stat = 0.282294	 P = 1.000000
6372 :	 B-stat = 0.419615	 P = 1.000000
5796 :	 B-stat = 1.647066	 P = 1.000000
7245 :	 B-stat = 1.296596	 P = 1.000000
5794 :	 B-stat = 0.162270	 P = 1.000000
5793 :	 B-stat = 0.035793	 P = 1.000000
6365 :	 B-stat = 2.112943	 P = 1.000000
5436 :	 B-stat = 3.075145	 P = 1.000000
6361 :	 B-stat = 4.902173	 P = 1.000000
5788 :	 B-stat = 1.847836	 P = 1.000000
5786 :	 B-stat = 1.667264	 P = 1.000000
5785 :	 B-stat = 1.366684	 P = 1.000000
6038 :	 B-stat = 0.103170	 P = 1.000000
6354 :	 B-stat = 0.619350	 P = 1.000000
5783 :	 B-stat = 0.702638	 P = 1.000000
5782 :	 B-stat = 1.116822	 P = 1.000000
6730 :	 B-stat = 1.256484	 P = 1.000000
5781 :	 B-stat = 0.361867	 P = 1.000000
7808 :	 B-stat = 2.534990	 P = 1.000000
5778 :	 B-stat = 0.436570	 P = 1.000000
6723 :	 B-stat = 0.076392	 P = 1.000000
7215 :	 B-stat = 4.822262	 P = 1.000000
6343 :	 B-stat = 9.085199	 P = 1.000000
5774 :	 B-stat = 2.870637	 P = 1.000000
5431 :	 B-stat = 0.621022	 P = 1.000000
9317 :	 B-stat = 1.857587	 P = 1.000000
6716 :	 B-stat = 4.947557	 P = 1.000000
5771 :	 B-stat = 0.150555	 P = 1.000000
9313 :	 B-stat = 1.164772	 P = 1.000000
9312 :	 B-stat = 1.576146	 P = 1.000000
9311 :	 B-stat = 1.870776	 P = 1.000000
9306 :	 B-stat = 2.347055	 P = 1.000000
7202 :	 B-stat = 4.205654	 P = 1.000000
9303 :	 B-stat = 3.710069	 P = 1.000000
9299 :	 B-stat = 1.596613	 P = 1.000000
9297 :	 B-stat = 0.392323	 P = 1.000000
9294 :	 B-stat = 0.242289	 P = 1.000000
9290 :	 B-stat = 1.850739	 P = 1.000000
9289 :	 B-stat = 3.845500	 P = 1.000000
9288 :	 B-stat = 1.118592	 P = 1.000000
5577 :	 B-stat = 0.924155	 P = 1.000000
6011 :	 B-stat = 0.209049	 P = 1.000000
9283 :	 B-stat = 0.107294	 P = 1.000000
4927 :	 B-stat = 2.747547	 P = 1.000000
5760 :	 B-stat = 3.857724	 P = 1.000000
9280 :	 B-stat = 0.594961	 P = 1.000000
7188 :	 B-stat = 3.219584	 P = 1.000000
9271 :	 B-stat = 1.268023	 P = 1.000000
5294 :	 B-stat = 2.742748	 P = 1.000000
6003 :	 B-stat = 3.040568	 P = 1.000000
9267 :	 B-stat = 0.300294	 P = 1.000000
9265 :	 B-stat = 4.056823	 P = 1.000000
4924 :	 B-stat = 3.009854	 P = 1.000000
6688 :	 B-stat = 1.890595	 P = 1.000000
6311 :	 B-stat = 1.237235	 P = 1.000000
9255 :	 B-stat = 0.648074	 P = 1.000000
9254 :	 B-stat = 0.813723	 P = 1.000000
7176 :	 B-stat = 2.099120	 P = 1.000000
9252 :	 B-stat = 0.784487	 P = 1.000000
9250 :	 B-stat = 0.003021	 P = 1.000000
5751 :	 B-stat = 6.094472	 P = 1.000000
9248 :	 B-stat = 0.281817	 P = 1.000000
9247 :	 B-stat = 4.098865	 P = 1.000000
6309 :	 B-stat = 4.814673	 P = 1.000000
9245 :	 B-stat = 1.579888	 P = 1.000000
8435 :	 B-stat = 4.780625	 P = 1.000000
9238 :	 B-stat = 0.755379	 P = 1.000000
8431 :	 B-stat = 1.480974	 P = 1.000000
9236 :	 B-stat = 1.730638	 P = 1.000000
8429 :	 B-stat = 1.502454	 P = 1.000000
4804 :	 B-stat = 1.496965	 P = 1.000000
8427 :	 B-stat = 0.049877	 P = 1.000000
9225 :	 B-stat = 2.103496	 P = 1.000000
5562 :	 B-stat = 0.650358	 P = 1.000000
5743 :	 B-stat = 5.215115	 P = 1.000000
7162 :	 B-stat = 4.139406	 P = 1.000000
8411 :	 B-stat = 2.538333	 P = 1.000000
8410 :	 B-stat = 0.642291	 P = 1.000000
8409 :	 B-stat = 2.595852	 P = 1.000000
8408 :	 B-stat = 2.023188	 P = 1.000000
8407 :	 B-stat = 2.438552	 P = 1.000000
8405 :	 B-stat = 0.314183	 P = 1.000000
5167 :	 B-stat = 3.497738	 P = 1.000000
8401 :	 B-stat = 0.962486	 P = 1.000000
7158 :	 B-stat = 0.378072	 P = 1.000000
4921 :	 B-stat = 1.040236	 P = 1.000000
7155 :	 B-stat = 0.153720	 P = 1.000000
4920 :	 B-stat = 1.458333	 P = 1.000000
7732 :	 B-stat = 0.849999	 P = 1.000000
4786 :	 B-stat = 3.770838	 P = 1.000000
5735 :	 B-stat = 0.524667	 P = 1.000000
4990 :	 B-stat = 3.808089	 P = 1.000000
4917 :	 B-stat = 1.915937	 P = 1.000000
5403 :	 B-stat = 1.346459	 P = 1.000000
9177 :	 B-stat = 3.228458	 P = 1.000000
7138 :	 B-stat = 0.494989	 P = 1.000000
4988 :	 B-stat = 2.453007	 P = 1.000000
5548 :	 B-stat = 0.808363	 P = 1.000000
7133 :	 B-stat = 5.106440	 P = 1.000000
7131 :	 B-stat = 2.973565	 P = 1.000000
5069 :	 B-stat = 1.061624	 P = 1.000000
4742 :	 B-stat = 3.599246	 P = 1.000000
7125 :	 B-stat = 1.055261	 P = 1.000000
4983 :	 B-stat = 3.619534	 P = 1.000000
9159 :	 B-stat = 0.797715	 P = 1.000000
7123 :	 B-stat = 2.440369	 P = 1.000000
6650 :	 B-stat = 1.192361	 P = 1.000000
9150 :	 B-stat = 0.465760	 P = 1.000000
9149 :	 B-stat = 2.520472	 P = 1.000000
5967 :	 B-stat = 2.523210	 P = 1.000000
9147 :	 B-stat = 4.522081	 P = 1.000000
9146 :	 B-stat = 0.717884	 P = 1.000000
9144 :	 B-stat = 0.073502	 P = 1.000000
9143 :	 B-stat = 0.110472	 P = 1.000000
9141 :	 B-stat = 2.226026	 P = 1.000000
9140 :	 B-stat = 3.530025	 P = 1.000000
9135 :	 B-stat = 0.166267	 P = 1.000000
8350 :	 B-stat = 4.956171	 P = 1.000000
4981 :	 B-stat = 1.241813	 P = 1.000000
6270 :	 B-stat = 2.410322	 P = 1.000000
9126 :	 B-stat = 2.009052	 P = 1.000000
9124 :	 B-stat = 4.636059	 P = 1.000000
7108 :	 B-stat = 2.508397	 P = 1.000000
7107 :	 B-stat = 4.745385	 P = 1.000000
5148 :	 B-stat = 0.531369	 P = 1.000000
7104 :	 B-stat = 0.844682	 P = 1.000000
6640 :	 B-stat = 2.333624	 P = 1.000000
4980 :	 B-stat = 6.384664	 P = 1.000000
6638 :	 B-stat = 0.805336	 P = 1.000000
6637 :	 B-stat = 1.022985	 P = 1.000000
6636 :	 B-stat = 0.284112	 P = 1.000000
9108 :	 B-stat = 6.476151	 P = 1.000000
5960 :	 B-stat = 3.536430	 P = 1.000000
6265 :	 B-stat = 0.267393	 P = 1.000000
4815 :	 B-stat = 1.811576	 P = 1.000000
4978 :	 B-stat = 0.271547	 P = 1.000000
9099 :	 B-stat = 0.662732	 P = 1.000000
6629 :	 B-stat = 0.759550	 P = 1.000000
5388 :	 B-stat = 5.437145	 P = 1.000000
8317 :	 B-stat = 0.229943	 P = 1.000000
8316 :	 B-stat = 0.599112	 P = 1.000000
7668 :	 B-stat = 0.803695	 P = 1.000000
4977 :	 B-stat = 2.926924	 P = 1.000000
5955 :	 B-stat = 1.527414	 P = 1.000000
7661 :	 B-stat = 7.052258	 P = 1.000000
6623 :	 B-stat = 0.574099	 P = 1.000000
6257 :	 B-stat = 2.541306	 P = 1.000000
8301 :	 B-stat = 4.527805	 P = 1.000000
5952 :	 B-stat = 2.235846	 P = 1.000000
5951 :	 B-stat = 2.351612	 P = 1.000000
7653 :	 B-stat = 0.492998	 P = 1.000000
4975 :	 B-stat = 1.986596	 P = 1.000000
4974 :	 B-stat = 0.908026	 P = 1.000000
8293 :	 B-stat = 0.558228	 P = 1.000000
4973 :	 B-stat = 3.183068	 P = 1.000000
5945 :	 B-stat = 1.622862	 P = 1.000000
7645 :	 B-stat = 2.869196	 P = 1.000000
5944 :	 B-stat = 1.860343	 P = 1.000000
6612 :	 B-stat = 7.118834	 P = 1.000000
6102 :	 B-stat = 2.014436	 P = 1.000000
5605 :	 B-stat = 1.445916	 P = 1.000000
8005 :	 B-stat = 2.589869	 P = 1.000000
4281 :	 B-stat = 1.454492	 P = 1.000000
8722 :	 B-stat = 0.296064	 P = 1.000000
8006 :	 B-stat = 2.049108	 P = 1.000000
6104 :	 B-stat = 2.637403	 P = 1.000000
6810 :	 B-stat = 3.446401	 P = 1.000000
8726 :	 B-stat = 2.690940	 P = 1.000000
8012 :	 B-stat = 0.913113	 P = 1.000000
4251 :	 B-stat = 0.540852	 P = 1.000000
4247 :	 B-stat = 0.829372	 P = 1.000000
8597 :	 B-stat = 0.751544	 P = 1.000000
8015 :	 B-stat = 2.378697	 P = 1.000000
4241 :	 B-stat = 0.251011	 P = 1.000000
6800 :	 B-stat = 0.962023	 P = 1.000000
4941 :	 B-stat = 1.979698	 P = 1.000000
4233 :	 B-stat = 1.088742	 P = 1.000000
4232 :	 B-stat = 0.345765	 P = 1.000000
4231 :	 B-stat = 0.716801	 P = 1.000000
4230 :	 B-stat = 2.637685	 P = 1.000000
4879 :	 B-stat = 3.119702	 P = 1.000000
8019 :	 B-stat = 1.622341	 P = 1.000000
4903 :	 B-stat = 1.593789	 P = 1.000000
7314 :	 B-stat = 0.706221	 P = 1.000000
8637 :	 B-stat = 1.877529	 P = 1.000000
8022 :	 B-stat = 0.760886	 P = 1.000000
8024 :	 B-stat = 0.290279	 P = 1.000000
8027 :	 B-stat = 2.317821	 P = 1.000000
8638 :	 B-stat = 0.467768	 P = 1.000000
4204 :	 B-stat = 0.582455	 P = 1.000000
4201 :	 B-stat = 1.752754	 P = 1.000000
8028 :	 B-stat = 0.787314	 P = 1.000000
8747 :	 B-stat = 0.729753	 P = 1.000000
4194 :	 B-stat = 1.028828	 P = 1.000000
4187 :	 B-stat = 3.260634	 P = 1.000000
5844 :	 B-stat = 1.624818	 P = 1.000000
4182 :	 B-stat = 2.199606	 P = 1.000000
8030 :	 B-stat = 2.164269	 P = 1.000000
6066 :	 B-stat = 1.090600	 P = 1.000000
5627 :	 B-stat = 1.102793	 P = 1.000000
8032 :	 B-stat = 0.921250	 P = 1.000000
7354 :	 B-stat = 2.299935	 P = 1.000000
6797 :	 B-stat = 0.395173	 P = 1.000000
4057 :	 B-stat = 0.160714	 P = 1.000000
4054 :	 B-stat = 1.961014	 P = 1.000000
4040 :	 B-stat = 4.940565	 P = 1.000000
4037 :	 B-stat = 2.236908	 P = 1.000000
4034 :	 B-stat = 1.075023	 P = 1.000000
7345 :	 B-stat = 2.045214	 P = 1.000000
4031 :	 B-stat = 2.561447	 P = 1.000000
6825 :	 B-stat = 0.272324	 P = 1.000000
4027 :	 B-stat = 0.403142	 P = 1.000000
6116 :	 B-stat = 1.222752	 P = 1.000000
4025 :	 B-stat = 3.604734	 P = 1.000000
6121 :	 B-stat = 0.269130	 P = 1.000000
4019 :	 B-stat = 3.581524	 P = 1.000000
6122 :	 B-stat = 3.973202	 P = 1.000000
4013 :	 B-stat = 2.884188	 P = 1.000000
6462 :	 B-stat = 4.273300	 P = 1.000000
8646 :	 B-stat = 2.157439	 P = 1.000000
6464 :	 B-stat = 0.678336	 P = 1.000000
4949 :	 B-stat = 1.193965	 P = 1.000000
3982 :	 B-stat = 7.522810	 P = 1.000000
3970 :	 B-stat = 1.704071	 P = 1.000000
6125 :	 B-stat = 3.697203	 P = 1.000000
3966 :	 B-stat = 4.961069	 P = 1.000000
3963 :	 B-stat = 7.361445	 P = 1.000000
4715 :	 B-stat = 2.574157	 P = 1.000000
6941 :	 B-stat = 2.164703	 P = 1.000000
7335 :	 B-stat = 1.396492	 P = 1.000000
5469 :	 B-stat = 2.164320	 P = 1.000000
3932 :	 B-stat = 4.708359	 P = 1.000000
4696 :	 B-stat = 0.695577	 P = 1.000000
3862 :	 B-stat = 0.843931	 P = 1.000000
5850 :	 B-stat = 4.434701	 P = 1.000000
3817 :	 B-stat = 2.403957	 P = 1.000000
3816 :	 B-stat = 9.712682	 P = 1.000000
3786 :	 B-stat = 2.166360	 P = 1.000000
3771 :	 B-stat = 12.709449	 P = 1.000000
3769 :	 B-stat = 1.425339	 P = 1.000000
6470 :	 B-stat = 0.795714	 P = 1.000000
3749 :	 B-stat = 1.807922	 P = 1.000000
3746 :	 B-stat = 1.666614	 P = 1.000000
3745 :	 B-stat = 0.467455	 P = 1.000000
3742 :	 B-stat = 2.117530	 P = 1.000000
3741 :	 B-stat = 1.842413	 P = 1.000000
3740 :	 B-stat = 1.831585	 P = 1.000000
3738 :	 B-stat = 3.392538	 P = 1.000000
4692 :	 B-stat = 0.419878	 P = 1.000000
3735 :	 B-stat = 2.968144	 P = 1.000000
3733 :	 B-stat = 1.623931	 P = 1.000000
3732 :	 B-stat = 1.227849	 P = 1.000000
